,Unnamed: 0,id,original_title,release_date,runtime,genres,budget,revenue,vote_average,vote_count,popularity,overview,year,month,day,fixed_budget,fixed_revenue,fixed_gross
67,157,14664,Sharky's Machine,1981-12-18,122,"Crime,Drama,Action,Thriller",17500000,35610100,6.1,70,6.314,"Police officer Tom Sharky gets busted back to working vice, where he happens upon a scandalous conspiracy involving a local politician. Sharky's new 'machine' gathers evidence while Sharky falls in love with a woman he has never met.",1981,12,18,57352801.38445943,116705085.29032794,59352283.90586851
68,158,11527,Excalibur,1981-04-10,140,"Adventure,Fantasy",11000000,34967437,7.0,785,15.709,"A surreal adaptation of Sir Thomas Malory's ""Le Morte d'Arthur"", chronicling Arthur Pendragon's conception, his rise to the throne, the search by his Knights of the Round Table for the Holy Grail, and ultimately his death.",1981,4,10,36050332.298803076,114598883.95340556,78548551.65460248
69,160,814,An American Werewolf in London,1981-08-21,97,"Horror,Comedy",10000000,31973249,7.4,1874,27.847,Two American tourists in England are attacked by a werewolf that none of the locals will admit exists.,1981,8,21,32773029.362548247,104786022.8293067,72012993.46675846
70,161,10156,History of the World: Part I,1981-06-12,92,Comedy,11000000,31672907,6.8,619,11.104,"An uproarious version of history that proves nothing is sacred – not even the Roman Empire, the French Revolution and the Spanish Inquisition.",1981,6,12,36050332.298803076,103801711.11082602,67751378.81202294
71,162,31361,Bustin' Loose,1981-05-22,94,"Comedy,Drama",11000000,31300000,5.8,36,3.695,"After ex-con Joe Braxton violates his probation he is given a second chance, all he has to do is drive a group of special kids across the country.",1981,5,22,36050332.298803076,102579581.90477602,66529249.605972946
72,163,14900,The Great Muppet Caper,1981-06-26,95,"Family,Crime,Comedy,Mystery,Music",14000000,31200000,6.8,228,5.895,"Kermit and Fozzie are newspaper reporters sent to London to interview Lady Holiday, a wealthy fashion designer whose priceless diamond necklace is stolen. Kermit meets and falls in love with her secretary, Miss Piggy. The jewel thieves strike again, and this time frame Miss Piggy. It's up to Kermit and Muppets to bring the real culprits to justice.",1981,6,26,45882241.10756756,102251851.61115052,56369610.503582954
73,164,19507,Neighbors,1981-12-18,94,Comedy,8500000,29916207,5.7,115,7.897,"One man's quiet suburban life takes a sickening lurch for the worse when a young couple move into the deserted house next door. From the word go it is obvious these are not the quiet professional types who *should* be living in such a nice street. As more and more unbelievable events unfold, our hero starts to question his own sanity... and those of his family.",1981,12,18,27857074.95816602,98044473.04270716,70187398.08454114
74,165,10948,The Fox and the Hound,1981-07-10,82,"Adventure,Animation,Drama,Family",12000000,29800000,7.1,2730,61.373,"When a feisty little fox named Tod is adopted into a farm family, he quickly becomes friends with a fun and adorable hound puppy named Copper. Life is full of hilarious adventures until Copper is expected to take on his role as a hunting dog -- and the object of his search is his best friend!",1981,7,10,39327635.23505788,97663627.50039376,58335992.26533588
75,166,764,The Evil Dead,1981-09-10,85,Horror,350000,29400000,7.3,3067,49.214,"When a group of college students finds a mysterious book and recording in the old wilderness cabin they've rented for the weekend, they unwittingly unleash a demonic force from the surrounding forest.",1981,9,10,1147056.0276891892,96352706.32589182,95205650.29820263
76,167,17360,Escape to Victory,1981-06-17,116,"Drama,War",10000000,27453418,6.8,721,11.586,A group of POWs in a German prison camp during World War II play the German National Soccer Team in this powerful film depicting the role of prisoners during wartime.,1981,6,17,32773029.362548247,89973167.42163108,57200138.059082836
