,original_title,id,runtime,genres,budget,revenue,vote_average,vote_count,popularity,year,month,day,fixed_budget,fixed_revenue,fixed_gross,gross_factor,pop_factor,freshness_factor,runtime_factor,goodness_factor,predicted_goodness
84,Nighthawks,21610,99,"Action,Crime,Thriller",5000000,19905359,6.4,320,10.417,1981,3,17,16386514.681274123,65235891.4979064,48849376.81663227,8.909091603140125,6.094471690481713,0.0,5.161963534029777,5.041381706912904,6.961597428953558
85,The Howling,11298,91,Horror,1000000,17985893,6.5,581,28.164,1981,1,21,3277302.936254825,58945219.94006512,55667917.00381029,8.918238235605767,6.583599622884212,0.0,4.443065161753528,4.986225755060876,7.18640786371035
86,Outland,10540,112,"Fiction,Action,Crime",16000000,17374595,6.4,461,8.411,1981,5,22,52436846.9800772,56941811.20973839,4504964.229661189,8.844635214911223,6.386283220088823,0.0,7.081009965973052,5.577982100243275,7.14459490306545
87,Scanners,9538,103,"Fiction,Horror",4100000,14225876,6.7,904,12.1,1981,1,14,13436942.038644778,46622505.18559703,33185563.14695225,8.887354110740352,6.961183162998053,0.0,5.729107246376018,5.3944111300286055,7.441965948469135
88,Dragonslayer,848,108,"Fantasy,Adventure",18000000,14110013,6.5,209,11.442,1981,6,26,58991452.85258681,46242787.03549374,-12748665.817093074,8.816855069763939,5.766366859355085,0.0,7.247971097183509,5.457798256575633,7.257509064362592
89,The Postman Always Rings Twice,11027,122,"Romance,Crime,Drama",12000000,12376625,6.6,390,12.963,1981,3,20,39327635.23505788,40561949.453424886,1234314.218367003,8.839498089135011,6.277193003837222,0.0,5.018953956051916,5.033911262256037,7.163011361104428
90,Blow Out,11644,108,"Crime,Drama,Mystery,Thriller",18000000,12000000,7.3,1083,12.85,1981,7,24,58991452.85258681,39327635.23505788,-19663817.61752893,8.805225410972488,7.174142804541512,0.0,7.247971097183509,5.806834828174377,7.0523719139310606
91,Gallipoli,11646,112,"War,Drama,Adventure,History",3000000,11740000,7.1,352,7.37,1981,8,13,9831908.80876447,38475536.47163165,28643627.66286718,8.880851285991167,6.25362086442607,0.0,7.081009965973052,5.553870529097572,7.2028190778922845
92,Thief,11524,123,"Crime,Thriller,Action",5500000,11492915,7.2,470,9.406,1981,3,27,18025166.14940153,37665764.07562711,19640597.926225573,8.867679292388654,6.495883432954563,0.0,4.91758485462925,5.070286894993117,7.104678111221841
93,Wolfen,10725,115,"Horror,Mystery",17000000,10626725,5.9,162,9.52,1981,7,24,55714149.91633204,34826997.04527255,-20887152.87105949,8.803136664601672,5.485337532036395,0.0,6.071250033605381,5.089931057560862,7.059403570681748
94,Carbon Copy,53922,92,"Comedy,Drama",6000000,9566593,5.8,36,6.098,1981,8,6,19663817.61752894,31352623.328854863,11688805.71132592,8.855718635122164,4.269442197207437,0.0,4.516306680709556,4.410366878259789,7.449746028022544
95,Pennies from Heaven,17450,108,"Drama,Music,Romance",22000000,9171289,6.2,72,6.208,1981,12,11,72100664.59760615,30057092.368941583,-42043572.22866457,8.765404681931935,4.876792488618374,0.0,7.247971097183509,5.222542066933455,7.179762336385716
96,Prince of the City,32047,167,"Drama,Thriller,Crime",8600000,8124257,7.2,109,5.78,1981,8,19,28184805.251791503,26625651.32098882,-1559153.9308026845,8.8350639456714,5.327776753172155,0.0,2.776167289768204,4.23475199715294,7.084381382176466
97,The Amateur,21294,112,"Action,Crime,Thriller",8338578,6892098,6.2,9,1.32,1981,12,11,27328046.163589887,22587493.012355994,-4740553.151233893,8.829960697163465,3.2146638457597243,0.0,7.081009965973052,4.78140862722406,7.208468608286499
98,My Bloody Valentine,39874,90,"Horror,Thriller,Mystery",2200000,5672031,6.5,329,7.192,1981,2,11,7210066.459760616,18588963.85082839,11378897.391067777,8.8552460452647,6.129034820044779,0.0,4.373070830551557,4.8393379239652585,7.045455655518818
99,Mommie Dearest,15660,128,Drama,19032261,5000000,6.4,161,8.859,1981,9,18,62374484.8588682,16386514.681274123,-45987970.17759407,8.758009322858427,5.545408980884319,0.0,4.494294458311057,4.6994281905134505,7.044425786006047
100,Final Exam,40469,90,Horror,374000,3000000,4.9,76,5.607,1981,6,5,1225711.298159304,9831908.80876447,8606197.510605168,8.850995818989693,4.731919165271453,0.0,4.373070830551557,4.488996453703176,7.108528129302864
