,id,original_title,release_date,runtime,genres,budget,revenue,vote_average,vote_count,popularity,overview
2993,28005,Kama Sutra: A Tale of Love,1996-09-11,117,"Drama,History,Romance",3000000,4109095,5.7,128,107.973,"Tara and Maya are two inseparable friends in India. Their tastes, habits, and hobbies are the same. Years later, the two have matured, but have maintained their friendship. Tara gets married to the local prince, Raj Singh, who soon succeeds the throne as the sole heir. After the marriage, Raj gets bored of Tara and starts seeking another female to satisfy his sexual needs. He notices Maya and is instantly attracted to her. He has her included as one of his courtesans, and is intimate with her. Watch what happens when Tara finds out and the extent she will go to keep her marriage intact."
2998,40507,Original Gangstas,1996-05-10,99,"Action,Drama,Crime,Thriller",4800000,3014000,5.5,20,2.72,"A violent street gang, the Rebels, rule the streets of Gary, Indiana. The Rebels shoot Marvin Bookman, a store-keeper, for giving the police information about a drive-by shooting they committed. Marvin's son, former NFL star John who created the Rebels, returns to Gary to be with his father and, with a little help from his friends, to destroy the Rebels his way."
2999,549,Basquiat,1996-08-09,108,"Drama,History",2962051,3011195,6.7,236,7.956,"The brief life of Jean Michel Basquiat, a world renowned New York street artist struggling with fame, drugs and his identity."
3002,12709,Ridicule,1996-05-09,102,"Comedy,Drama,Romance",3000000,2503829,6.9,160,6.011,"To get royal backing on a needed drainage project, a poor French lord must learn to play the delicate games of wit at court at Versailles."
3003,16299,The Stupids,1996-08-08,94,"Comedy,Family",25000000,2491989,4.7,54,3.582,"An incredibly dull-witted family unknowingly stumble upon an illegal weapons deal while on the trail of their ""stolen"" garbage."
3004,10324,If Lucy Fell,1996-03-08,92,"Comedy,Romance",5000000,2420162,5.1,34,4.677,"Joe and Lucy are roommates and best friends. Lucy, whose love life is embarrassingly dull, convinces Joe, who is infatuated with a neighbor he's never met, that if they don't have stable romances within a month, they must jump off the Brooklyn Bridge."
3005,11525,Lawnmower Man 2: Beyond Cyberspace,1996-01-12,92,"Fiction,Horror,Action,Thriller",15000000,2409225,2.9,108,8.869,"Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and use. But what Walker doesn't realize is a group of teenage hackers are on to him and out to stop his plan."
3006,47502,Faithful,1996-04-03,91,"Comedy,Crime,Drama",13000000,2104439,5.1,19,4.339,"A depressed housewife whose husband is having an affair contemplates suicide, but changes her mind when she faces death by a killer hired to do her in."
3007,36929,Big Bully,1996-01-26,90,Comedy,15000000,2042530,4.5,61,5.447,"A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again."
3008,41843,Surviving Picasso,1996-09-04,125,"Drama,Romance",16000000,1985001,5.7,74,7.708,"The passionate Merchant-Ivory drama tells the story of Francoise Gilot, the only lover of Pablo Picasso who was strong enough to withstand his ferocious cruelty and move on with her life."
3012,10690,Space Truckers,1996-03-01,95,"Comedy,Fiction,Thriller,Adventure",25000000,1614266,5.5,119,9.546,John Canyon is one of the last independent space transport entrepreneurs. Rough times force him to carry suspicious cargo to Earth without questions being asked. During the flight the cargo turns out to be multitude of unstoppable and deadly killer robots.
3015,21612,The Funeral,1996-01-26,99,Crime,12500000,1227324,6.9,131,4.855,The story concerns the funeral of one of three brothers in a family of gangsters that lived in New York in 1930s. Details of the past of the brothers and their families are shown through a series of flashbacks.
3017,210994,Army Daze,1996-01-01,84,Comedy,507000,1160000,7.0,2,0.6,"A Singaporean-made comedy about a group of 18 year old boys who are beginning the mandatory two-year military service in the Singapore army. Despite their different racial and family backgrounds, they discover many similarities and forge a friendship which would help ease their transition to the tough army routine."
3018,49763,Bad Moon,1996-11-01,80,Horror,7000000,1100000,6.8,191,7.038,"One man's struggle to contain the curse he hides within... and his last-ditch attempt to free himself with the love of family. But when it looks as if he is losing his battle, and endangering all he holds most dear, the family dog, Thor, is the last hope for his family's survival... and the end to his Werewolf curse."
3019,31640,Blood and Wine,1996-10-03,101,"Crime,Drama,Thriller",26000000,1094668,5.8,125,5.826,"A man who has failed as a father and husband commits a heist to make money for his fledging business, but things become complicated when his wife interferes."
3020,13685,Bottle Rocket,1996-02-21,91,"Comedy,Crime,Drama",7000000,1040879,6.7,848,9.966,"Upon his release from a mental hospital following a nervous breakdown, the directionless Anthony joins his friend Dignan, who seems far less sane than the former. Dignan has hatched a hair-brained scheme for an as-yet-unspecified crime spree that somehow involves his former boss, the (supposedly) legendary Mr. Henry."
3022,53689,Monopol,1996-11-29,106,"Comedy,Music",1917,724379,5.4,11,0.84,"Egil (Knut Agnred) is just an ordinary painter. But one day, when he's about to paint a fence, incredible stuff starts to happen!"
3026,58985,Grace of My Heart,1996-09-13,116,"Comedy,Drama,Music",5000000,660313,6.1,47,3.215,"An aspiring singer, Denise Waverly/Edna Buxton, sacrifices her own singing career to write hit songs that launch the careers of other singers. The film follows her life from her first break, through the pain of rejection from the recording industry and a bad marriage, to her final triumph in realizing her dream to record her own hit album."
3027,69423,காதல் கோட்டை,1996-07-12,167,"Romance,Drama",500000,500000,7.0,4,1.094,"Kamali loses her bag in the railway station. Later, her bag is sent to her home, along with a letter from Surya, who found it. Kamali and Surya send letters to each other and soon fall in love."
3028,88224,Manny & Lo,1996-01-22,88,"Drama,Comedy",500000,431326,5.9,26,4.663,A pregnant teen and her younger sister run away from foster homes and kidnap a woman whom they believe can help with the pregnancy.
3029,25147,Jude,1996-02-06,123,"Drama,Romance",7000000,409144,6.4,99,6.049,"In late 19th-century England, Jude aspires to be an academic, but is hobbled by his blue-collar background. Instead, he works as a stonemason and is trapped in an unloving marriage to a farmer's daughter named Arabella. But when his wife leaves him, Jude sees an opportunity to improve himself. He moves to the city and begins an affair with his married cousin, Sue, courting tragedy every step of the way."
3031,13891,Citizen Ruth,1996-11-21,104,"Drama,Comedy",3000000,285112,6.6,97,6.468,"""Citizen Ruth"" is the story of Ruth Stoops, a woman who nobody even noticed -- until she got pregnant. Now, everyone wants a piece of her. The film is a comedy about one woman caught in the ultimate tug-of-war: a clash of wild, noisy, ridiculous people that rapidly dissolves into a media circus."
3033,36271,La lengua asesina,1996-11-15,98,"Comedy,Horror,Fiction",4000000,219449,5.3,29,2.67,"Accidentally ingesting a meteorite part causes a serpentine, man eating tongue to grow out of a woman's mouth."
